date,ticker,net_flow_usd,source
2025-06-06,BTCO,0.0,farside
2025-06-06,BTCW,0.0,farside
2025-06-06,EZBC,0.0,farside
2025-06-06,FBTC,22.8,farside
2025-06-06,GBTC,0.0,farside
2025-06-06,HODL,7.4,farside
2025-06-09,ARKB,10.8,farside
2025-06-09,BITB,68.5,farside
2025-06-09,BRRR,0.0,farside
2025-06-09,BTCO,0.0,farside
2025-06-09,BTCW,0.0,farside
2025-06-09,EZBC,0.0,farside
2025-06-09,FBTC,173.0,farside
2025-06-09,GBTC,0.0,farside
2025-06-09,HODL,7.7,farside
2025-06-09,IBIT,120.9,farside
2025-06-10,ARKB,20.3,farside
2025-06-10,BRRR,0.0,farside
2025-06-10,BTCO,7.7,farside
2025-06-10,BTCW,0.0,farside
2025-06-10,EZBC,0.0,farside
2025-06-10,FBTC,67.1,farside
2025-06-10,GBTC,0.0,farside
2025-06-10,HODL,0.0,farside
2025-06-10,IBIT,336.7,farside
2025-06-11,ARKB,0.0,farside
2025-06-11,BITB,0.0,farside
2025-06-11,BRRR,0.0,farside
2025-06-11,BTCO,0.0,farside
2025-06-11,BTCW,0.0,farside
2025-06-11,EZBC,6.3,farside
2025-06-11,FBTC,11.9,farside
2025-06-11,GBTC,0.0,farside
2025-06-11,HODL,15.4,farside
2025-06-11,IBIT,131.0,farside
2025-06-12,BITB,0.0,farside
2025-06-12,BRRR,0.0,farside
2025-06-12,BTCO,0.0,farside
2025-06-12,BTCW,0.0,farside
2025-06-12,EZBC,0.0,farside
2025-06-12,GBTC,5.9,farside
2025-06-12,HODL,0.0,farside
2025-06-12,IBIT,288.3,farside
2025-06-13,ARKB,21.0,farside
2025-06-13,BITB,14.9,farside
2025-06-13,BRRR,0.0,farside
2025-06-13,BTCO,0.0,farside
2025-06-13,BTCW,0.0,farside
2025-06-13,EZBC,0.0,farside
2025-06-13,FBTC,25.2,farside
2025-06-13,GBTC,9.1,farside
2025-06-13,HODL,6.0,farside
2025-06-13,IBIT,239.0,farside
2025-06-16,ARKB,3.6,farside
2025-06-16,BITB,41.4,farside
2025-06-16,BRRR,0.0,farside
2025-06-16,BTCO,0.0,farside
2025-06-16,BTCW,0.0,farside
2025-06-16,EZBC,0.0,farside
2025-06-16,FBTC,83.0,farside
2025-06-16,GBTC,12.8,farside
2025-06-16,HODL,0.0,farside
2025-06-16,IBIT,266.6,farside
2025-06-17,BRRR,0.0,farside
2025-06-17,BTCO,0.0,farside
2025-06-17,BTCW,0.0,farside
2025-06-17,EZBC,0.0,farside
2025-06-17,GBTC,0.0,farside
2025-06-17,HODL,0.0,farside
2025-06-17,IBIT,639.2,farside
2025-06-18,ARKB,0.0,farside
2025-06-18,BITB,11.3,farside
2025-06-18,BRRR,0.0,farside
2025-06-18,BTCO,0.0,farside
2025-06-18,BTCW,0.0,farside
2025-06-18,EZBC,0.0,farside
2025-06-18,FBTC,104.4,farside
2025-06-18,HODL,0.0,farside
2025-06-18,IBIT,278.9,farside
2025-06-20,ARKB,0.0,farside
2025-06-20,BITB,0.0,farside
2025-06-20,BRRR,0.0,farside
2025-06-20,BTCO,0.0,farside
2025-06-20,BTCW,0.0,farside
2025-06-20,EZBC,0.0,farside
2025-06-20,GBTC,0.0,farside
2025-06-20,HODL,0.0,farside
2025-06-20,IBIT,46.9,farside
2025-06-23,ARKB,2.1,farside
2025-06-23,BITB,14.6,farside
2025-06-23,BRRR,0.0,farside
2025-06-23,BTCO,6.2,farside
2025-06-23,BTCW,0.0,farside
2025-06-23,EZBC,0.0,farside
2025-06-23,FBTC,105.7,farside
2025-06-23,HODL,0.0,farside
2025-06-23,IBIT,217.6,farside
2025-06-24,ARKB,43.8,farside
2025-06-24,BITB,9.8,farside
2025-06-24,BRRR,0.0,farside
2025-06-24,BTCO,0.0,farside
2025-06-24,BTCW,0.0,farside
2025-06-24,EZBC,0.0,farside
2025-06-24,FBTC,85.2,farside
2025-06-24,GBTC,0.0,farside
2025-06-24,HODL,6.0,farside
2025-06-24,IBIT,436.3,farside
2025-06-25,ARKB,70.2,farside
2025-06-25,BITB,12.9,farside
2025-06-25,BRRR,0.0,farside
2025-06-25,BTCO,0.0,farside
2025-06-25,BTCW,0.0,farside
2025-06-25,EZBC,0.0,farside
2025-06-25,FBTC,115.2,farside
2025-06-25,GBTC,0.0,farside
2025-06-25,HODL,9.1,farside
2025-06-25,IBIT,340.3,farside
2025-06-26,ARKB,1.8,farside
2025-06-26,BITB,25.2,farside
2025-06-26,BRRR,0.0,farside
2025-06-26,BTCO,0.0,farside
2025-06-26,BTCW,0.0,farside
2025-06-26,EZBC,3.1,farside
2025-06-26,FBTC,32.9,farside
2025-06-26,GBTC,0.0,farside
2025-06-26,HODL,0.0,farside
2025-06-26,IBIT,163.7,farside
2025-06-27,ARKB,150.3,farside
2025-06-27,BITB,11.6,farside
2025-06-27,BRRR,0.0,farside
2025-06-27,BTCO,3.7,farside
2025-06-27,BTCW,0.0,farside
2025-06-27,EZBC,3.1,farside
2025-06-27,FBTC,165.5,farside
2025-06-27,GBTC,0.0,farside
2025-06-27,HODL,6.0,farside
2025-06-27,IBIT,153.0,farside
2025-06-30,BITB,0.0,farside
2025-06-30,BRRR,0.0,farside
2025-06-30,BTCO,0.0,farside
2025-06-30,BTCW,0.0,farside
2025-06-30,EZBC,0.0,farside
2025-06-30,FBTC,0.0,farside
2025-06-30,GBTC,0.0,farside
2025-06-30,HODL,0.0,farside
2025-06-30,IBIT,112.3,farside
2025-07-01,BRRR,0.0,farside
2025-07-01,BTCO,0.0,farside
2025-07-01,BTCW,0.0,farside
2025-07-01,EZBC,0.0,farside
2025-07-01,HODL,0.0,farside
2025-07-01,IBIT,0.0,farside
2025-07-02,ARKB,83.0,farside
2025-07-02,BITB,64.9,farside
2025-07-02,BRRR,0.0,farside
2025-07-02,BTCO,9.9,farside
2025-07-02,BTCW,0.0,farside
2025-07-02,EZBC,9.5,farside
2025-07-02,FBTC,184.0,farside
2025-07-02,GBTC,34.6,farside
2025-07-02,HODL,5.4,farside
2025-07-02,IBIT,0.0,farside
2025-07-03,ARKB,114.2,farside
2025-07-03,BITB,15.5,farside
2025-07-03,BRRR,0.0,farside
2025-07-03,BTCO,0.0,farside
2025-07-03,BTCW,0.0,farside
2025-07-03,EZBC,0.0,farside
2025-07-03,FBTC,237.1,farside
2025-07-03,GBTC,0.0,farside
2025-07-03,HODL,4.7,farside
2025-07-03,IBIT,224.5,farside
2025-07-07,BITB,0.0,farside
2025-07-07,BRRR,0.0,farside
2025-07-07,BTCO,0.0,farside
2025-07-07,BTCW,0.0,farside
