date,btc_open_intraday,btc_close_intraday,btc_close_et,btc_prev_close_et,ret_close_close,ret_intraday,ret_overnight,rv_intraday,rv_overnight
2024-03-26,70716.42,69490.0,69490.0,71091.6,-0.022786329043555365,-0.01749493754986085,-0.005291391493694515,0.0004909038917156346,0.0003945590306565328
2024-03-27,71641.2,68712.0,68712.0,69490.0,-0.011259000862312345,-0.04174647100706115,0.030487470144748806,0.0007974204662629693,0.0003884079980594147
2024-03-28,70948.0,70784.0,70784.0,68712.0,0.029709129995891377,-0.0023142278835250663,0.032023357879416445,0.0002678409374322312,0.000284379408197569
2024-03-29,70167.98,69686.01,69686.01,70784.0,-0.015633406199876795,-0.006892501358888454,-0.00874090484098834,0.00013365607237044005,0.00019499773316133435
2024-03-30,70124.65,69875.19,69875.19,69686.01,0.002711070352952045,-0.0035637221301705797,0.006274792483122625,3.745046301873796e-05,0.00010243673674398146
2024-03-31,70706.99,71107.1,71107.1,69875.19,0.01747654056371561,0.005642754702968267,0.011833785860747344,9.069735820798548e-05,0.0001462877782166175
2024-04-01,70001.08,69631.98,69631.98,71107.1,-0.02096324660748917,-0.005286725932651723,-0.01567652067483745,0.0002521929900953638,0.0007641148993428122
2024-04-02,64876.71,65870.97,65870.97,69631.98,-0.05552611604953516,0.01520912899940209,-0.07073524504893725,0.000546999959178245,0.0008476705134732017
2024-04-03,65656.12,65803.99,65803.99,65870.97,-0.0010173537288649557,0.0022496567569224436,-0.0032670104857873993,0.00029496458939606645,0.0003736846455626203
2024-04-04,67389.99,68542.88,68542.88,65803.99,0.04077906003178891,0.016963044254359703,0.023816015777429207,0.00030589516069560633,0.00046212917923707953
2024-04-05,66946.01,67380.03,67380.03,68542.88,-0.017110851608222753,0.006462209567021707,-0.02357306117524446,0.0002986041683568718,0.00055366849069931
2024-04-06,67622.22,68243.55,68243.55,67380.03,0.012734240890355217,0.009146296840294285,0.003587944050060932,8.873460049653453e-05,0.00025336427473572805
2024-04-07,69397.01,69043.24,69043.24,68243.55,0.011650050885727039,-0.005110808020782889,0.016760858906509926,0.00016867131313280778,0.00017077885448571188
2024-04-08,72101.16,71704.01,71704.01,69043.24,0.03781369852691933,-0.005523459409799607,0.04333715793671893,0.00023048927378927227,0.0004492486725457002
2024-04-09,70709.0,69029.93,69029.93,71704.01,-0.03800649485427595,-0.024032684581889365,-0.013973810272386585,0.0004604174647126845,0.00043610562906338385
2024-04-10,67606.82,69983.99,69983.99,69029.93,0.01372632294153542,0.03455763607046975,-0.020831313128934333,0.0003650869219032326,0.0005300375820559324
2024-04-11,70696.67,70500.76,70500.76,69983.99,0.007356988297417716,-0.0027749814669775805,0.010131969764395296,0.00031681598385629555,0.000392141133056824
2024-04-12,70200.0,66783.65,66783.65,70500.76,-0.054165199797138186,-0.04989002092694197,-0.004275178870196218,0.0009687271457025824,0.0004089210785149874
2024-04-13,67637.53,64822.18,64822.18,66783.65,-0.02981046136176488,-0.042515177766631794,0.012704716404866916,0.000690006698227588,0.0031838879188067033
2024-04-14,64545.01,64162.31,64162.31,64822.18,-0.010231862092270259,-0.005946843238540902,-0.004285018853729357,0.0006632736807933803,0.0010942660869467991
2024-04-15,66114.39,63439.01,63439.01,64162.31,-0.01133699474230265,-0.04130745170970755,0.029970456967404902,0.0007968052745713651,0.0007106956882715134
2024-04-16,63219.0,62706.03,62706.03,63439.01,-0.011621356645061084,-0.008147273619760866,-0.003474083025300218,0.0007042995986951424,0.0009957957634116762
